Date,Platform,Campaign Name,Impressions,Clicks,Spend,Conversions,Revenue
2023-07-12,Instagram,Summer Sale,53284,4285,13144,281,282124
2023-07-13,Instagram,New Product Launch,57604,847,39042,28,49616
2023-07-14,Facebook,Brand Awareness,140884,3469,31952,296,179080
2023-07-15,Instagram,New Product Launch,67037,2423,16210,385,462770
2023-07-16,Facebook,Festive Offer,147109,1045,37366,74,44326
2023-07-17,Facebook,Clearance Sale,88980,3176,25365,491,830772
2023-07-18,Facebook,Brand Awareness,127727,4246,12626,422,818258
2023-07-19,Facebook,New Product Launch,192685,1290,35520,368,630752
2023-07-20,Instagram,Summer Sale,52401,64,11942,320,346560
2023-07-21,Facebook,New Product Launch,62590,3198,10832,344,459240
2023-07-22,Instagram,Brand Awareness,21676,4571,37771,495,466290
2023-07-23,Instagram,New Product Launch,150670,1394,15369,376,206424
2023-07-24,Instagram,Festive Offer,86173,886,47808,328,314880
2023-07-25,Facebook,Summer Sale,146377,2252,16886,98,158858
2023-07-26,Instagram,Summer Sale,128782,301,13032,292,447636
2023-07-27,Facebook,New Product Launch,58634,1797,17105,182,67158
2023-07-28,Instagram,Clearance Sale,117045,2348,45761,206,311266
2023-07-29,Instagram,Festive Offer,80361,2149,28422,422,680264
2023-07-30,Facebook,Clearance Sale,158060,1376,37760,37,60643
2023-07-31,Instagram,Clearance Sale,126053,1583,33330,382,587516
2023-08-01,Facebook,Clearance Sale,145402,3768,43315,306,583848
2023-08-02,Facebook,Festive Offer,53304,1971,14857,104,204984
2023-08-03,Instagram,Clearance Sale,137398,2609,31434,353,318759
2023-08-04,Facebook,Clearance Sale,57440,650,38480,163,234720
2023-08-05,Facebook,New Product Launch,161626,3194,28901,209,163229
2023-08-06,Facebook,New Product Launch,68106,1485,13551,475,481650
2023-08-07,Instagram,Brand Awareness,116615,3836,37342,93,79794
2023-08-08,Instagram,New Product Launch,150315,1747,20446,225,188550
2023-08-09,Facebook,New Product Launch,19801,4446,940,163,211085
2023-08-10,Facebook,Brand Awareness,155820,1177,37631,66,59070
2023-08-11,Facebook,Clearance Sale,46116,4800,49632,439,672987
2023-08-12,Instagram,Clearance Sale,132663,4224,4566,49,88886
2023-08-13,Facebook,Brand Awareness,76187,830,19185,323,275519
2023-08-14,Instagram,Brand Awareness,34954,4761,13279,296,101824
2023-08-15,Instagram,Summer Sale,150856,2484,44242,374,495550
2023-08-16,Facebook,New Product Launch,99175,316,29274,487,405671
2023-08-17,Instagram,New Product Launch,151883,750,31733,496,436976
2023-08-18,Instagram,New Product Launch,123474,4864,38799,62,99882
2023-08-19,Facebook,Brand Awareness,42621,3263,7348,222,215784
2023-08-20,Instagram,Summer Sale,86059,3628,22461,430,803670
2023-08-21,Facebook,Summer Sale,115901,3673,33780,319,97933
2023-08-22,Facebook,New Product Launch,136207,3915,5500,48,94608
2023-08-23,Facebook,Brand Awareness,194128,3120,41269,315,117180
2023-08-24,Facebook,Brand Awareness,163521,2851,7627,383,395639
2023-08-25,Facebook,New Product Launch,72676,818,17356,466,887264
2023-08-26,Instagram,Summer Sale,24643,528,12610,125,219750
2023-08-27,Facebook,Summer Sale,73396,2025,24398,211,359755
2023-08-28,Instagram,Festive Offer,147902,1669,39972,428,781100
2023-08-29,Facebook,New Product Launch,146958,2613,3765,319,209583
2023-08-30,Facebook,Festive Offer,81789,2788,31462,9,14238
2023-08-31,Facebook,Summer Sale,87804,3030,26380,113,34352
2023-09-01,Facebook,Brand Awareness,84045,2438,11308,407,756206
2023-09-02,Facebook,Summer Sale,165149,4053,28207,499,414669
2023-09-03,Facebook,New Product Launch,11429,4776,4899,392,753424
2023-09-04,Facebook,Brand Awareness,166849,4635,47329,16,24272
2023-09-05,Instagram,Brand Awareness,73492,4369,3050,306,442782
2023-09-06,Instagram,Brand Awareness,178294,867,22083,309,336810
2023-09-07,Facebook,Summer Sale,131099,2599,27069,314,550756
2023-09-08,Instagram,Clearance Sale,40446,4567,34492,289,399687
2023-09-09,Instagram,Summer Sale,184431,3179,12912,186,141546
2023-09-10,Facebook,Clearance Sale,107192,1504,17443,167,93687
2023-09-11,Facebook,Festive Offer,61339,4857,27710,167,325316
2023-09-12,Instagram,Clearance Sale,16844,4283,13213,99,119295
2023-09-13,Facebook,Festive Offer,46975,2131,31381,252,91224
2023-09-14,Facebook,New Product Launch,119532,3512,17043,468,563940
2023-09-15,Instagram,Clearance Sale,75140,1233,23246,455,727090
2023-09-16,Facebook,Brand Awareness,164663,3412,7873,37,23569
2023-09-17,Facebook,Festive Offer,156693,4620,35912,87,72297
2023-09-18,Facebook,Brand Awareness,81459,4360,42928,34,37706
2023-09-19,Facebook,Brand Awareness,139128,2298,41029,138,108744
2023-09-20,Facebook,Summer Sale,8550,3406,8339,248,134912
2023-09-21,Facebook,Clearance Sale,176203,259,18700,481,317941
2023-09-22,Instagram,New Product Launch,70322,461,9446,70,41930
2023-09-23,Instagram,Brand Awareness,145596,1625,31953,460,258520
2023-09-24,Instagram,New Product Launch,45152,4115,5665,403,241800
2023-09-25,Facebook,Clearance Sale,169522,2703,29972,13,19513
2023-09-26,Facebook,Brand Awareness,122093,1860,8286,278,389478
2023-09-27,Facebook,Brand Awareness,127233,893,21436,253,294998
2023-09-28,Instagram,Festive Offer,125964,4787,13654,354,396126
2023-09-29,Instagram,New Product Launch,8414,474,45468,498,294318
2023-09-30,Instagram,Brand Awareness,41766,1124,39392,225,102375
2023-10-01,Instagram,New Product Launch,50109,3383,15173,76,24548
2023-10-02,Facebook,Brand Awareness,63783,3034,40208,445,193575
2023-10-03,Instagram,Festive Offer,99734,4632,30472,499,914667
2023-10-04,Facebook,Brand Awareness,136011,3215,41310,367,691795
2023-10-05,Instagram,Clearance Sale,109135,827,33886,419,731155
2023-10-06,Instagram,Clearance Sale,169909,573,42996,420,175140
2023-10-07,Instagram,Festive Offer,87363,207,49770,31,17639
2023-10-08,Facebook,Brand Awareness,61702,1738,43047,402,746514
2023-10-09,Facebook,Festive Offer,130044,4384,6422,433,385370
2023-10-10,Instagram,Festive Offer,161278,2212,45970,226,169500
2023-10-11,Instagram,New Product Launch,187582,4002,29912,408,769896
2023-10-12,Instagram,Brand Awareness,13485,2585,49254,13,20956
2023-10-13,Facebook,Summer Sale,101771,53,19340,495,710820
2023-10-14,Facebook,Brand Awareness,71622,1654,22806,78,100230
2023-10-15,Facebook,Brand Awareness,61931,1268,20068,14,21350
2023-10-16,Facebook,Clearance Sale,79806,4024,32703,118,113988
2023-10-17,Facebook,Festive Offer,121098,2392,17434,383,355807
2023-10-18,Instagram,Summer Sale,124443,2838,29688,498,750984
2023-10-19,Instagram,Festive Offer,169328,2345,18807,423,348975
2023-10-20,Instagram,Festive Offer,116859,1595,12775,213,245802
2023-10-21,Instagram,Summer Sale,84971,4067,27911,373,555770
2023-10-22,Facebook,Brand Awareness,189570,694,9761,209,291137
2023-10-23,Instagram,New Product Launch,51196,4903,36095,264,199848
2023-10-24,Instagram,New Product Launch,138087,841,26676,35,48930
2023-10-25,Facebook,Summer Sale,137609,2174,37802,482,921102
2023-10-26,Facebook,Brand Awareness,182501,4636,32127,218,174400
2023-10-27,Facebook,Festive Offer,149142,1372,46744,415,471440
2023-10-28,Instagram,New Product Launch,48997,2689,929,445,835265
2023-10-29,Facebook,Clearance Sale,42774,1921,41827,292,251704
2023-10-30,Instagram,Brand Awareness,11880,2987,11850,105,50820
2023-10-31,Instagram,Summer Sale,110480,279,21516,94,77644
2023-11-01,Facebook,Brand Awareness,77946,2602,43843,243,354537
2023-11-02,Instagram,Summer Sale,140256,404,27436,381,629412
2023-11-03,Facebook,Summer Sale,32582,3135,43915,29,34771
2023-11-04,Facebook,Summer Sale,185868,2980,8153,352,557216
2023-11-05,Facebook,Festive Offer,131420,3981,19680,286,88660
2023-11-06,Facebook,Summer Sale,158993,2273,33580,65,116220
2023-11-07,Instagram,Summer Sale,95699,319,27985,243,477495
2023-11-08,Instagram,Summer Sale,7042,1725,42697,487,358432
2023-11-09,Facebook,Brand Awareness,112725,894,33818,314,565514
2023-11-10,Facebook,Summer Sale,179329,4782,20814,210,132510
2023-11-11,Facebook,Clearance Sale,142469,2006,18993,208,64688
2023-11-12,Instagram,Brand Awareness,31926,3493,38906,199,378100
2023-11-13,Instagram,New Product Launch,153559,3561,26320,317,398469
2023-11-14,Instagram,Festive Offer,63103,1976,1308,492,473796
2023-11-15,Facebook,Brand Awareness,166350,2285,11815,164,61992
2023-11-16,Facebook,Summer Sale,130838,1054,37671,35,57435
2023-11-17,Facebook,Clearance Sale,188479,4264,10883,217,336567
2023-11-18,Facebook,Festive Offer,80916,1892,10315,399,610869
2023-11-19,Facebook,New Product Launch,171867,3771,7697,408,688704
2023-11-20,Facebook,Summer Sale,140383,723,11317,247,392483
2023-11-21,Facebook,New Product Launch,56607,611,34498,114,215118
2023-11-22,Facebook,New Product Launch,94593,799,5277,293,399359
2023-11-23,Instagram,Festive Offer,184834,178,7597,348,129108
2023-11-24,Facebook,New Product Launch,119886,582,48391,453,811776
2023-11-25,Instagram,New Product Launch,105829,3662,37201,372,572136
2023-11-26,Instagram,Brand Awareness,16399,2571,29571,265,270830
2023-11-27,Instagram,Clearance Sale,22467,4460,18903,455,868595
2023-11-28,Facebook,Brand Awareness,7203,2681,36648,472,236944
2023-11-29,Facebook,Summer Sale,156461,4726,46928,79,120554
2023-11-30,Facebook,New Product Launch,12820,388,49808,349,298395
2023-12-01,Instagram,Brand Awareness,178732,1736,33018,494,172406
2023-12-02,Facebook,Summer Sale,47793,1145,12170,14,19600
2023-12-03,Instagram,Brand Awareness,166209,843,25445,443,444772
2023-12-04,Facebook,Summer Sale,75553,839,19504,139,195017
2023-12-05,Instagram,Summer Sale,101540,4810,7279,227,276486
2023-12-06,Instagram,Clearance Sale,21783,2081,7616,424,211152
2023-12-07,Instagram,Brand Awareness,149619,344,46279,313,112993
2023-12-08,Instagram,Summer Sale,158759,4431,27375,488,668560
2023-12-09,Instagram,Clearance Sale,65398,3109,15479,286,155584
2023-12-10,Instagram,New Product Launch,48300,1563,42548,89,46903
2023-12-11,Facebook,Clearance Sale,20839,4590,2503,389,653909
2023-12-12,Instagram,Brand Awareness,21218,1136,15067,278,324704
2023-12-13,Instagram,New Product Launch,125096,2209,43981,262,158510
2023-12-14,Instagram,New Product Launch,159612,2488,35923,263,265367
2023-12-15,Instagram,Clearance Sale,101542,2411,7374,286,274274
2023-12-16,Instagram,Festive Offer,74114,772,27398,154,221606
2023-12-17,Instagram,Festive Offer,16922,4467,45933,407,715099
2023-12-18,Facebook,New Product Launch,119928,661,10060,425,308550
2023-12-19,Facebook,Summer Sale,101805,282,47370,15,28500
2023-12-20,Instagram,Summer Sale,138913,3406,10646,489,626409
2023-12-21,Instagram,Brand Awareness,116965,2235,49098,232,389296
2023-12-22,Facebook,Brand Awareness,138410,684,7424,193,192035
2023-12-23,Instagram,Festive Offer,10015,867,44680,111,50727
2023-12-24,Instagram,Brand Awareness,111607,2898,14041,111,210678
2023-12-25,Instagram,New Product Launch,58757,3968,13467,349,309214
2023-12-26,Facebook,Clearance Sale,178726,1562,3110,483,288351
2023-12-27,Instagram,Festive Offer,171639,2475,17561,249,449943
2023-12-28,Facebook,Festive Offer,157825,4331,47561,276,227424
2023-12-29,Instagram,Brand Awareness,46976,4026,15775,439,429781
2023-12-30,Facebook,Festive Offer,109617,2178,45153,153,60588
2023-12-31,Facebook,Clearance Sale,171295,591,16915,477,526608
2024-01-01,Instagram,Clearance Sale,198833,920,5420,151,225594
2024-01-02,Instagram,Brand Awareness,166932,229,33203,262,358154
2024-01-03,Facebook,Festive Offer,63703,3044,13836,253,384307
2024-01-04,Instagram,Summer Sale,125095,1832,23089,46,85928
2024-01-05,Instagram,Summer Sale,53628,2173,19171,232,236408
2024-01-06,Instagram,Brand Awareness,45167,3717,2144,109,46761
2024-01-07,Facebook,New Product Launch,78273,4594,13043,133,247513
2024-01-08,Instagram,New Product Launch,148282,3803,6494,49,30919
2024-01-09,Instagram,Clearance Sale,135000,1629,20469,189,355698
2024-01-10,Facebook,Clearance Sale,168284,1792,2634,104,130416
2024-01-11,Instagram,Clearance Sale,21466,866,13485,11,13607
2024-01-12,Instagram,New Product Launch,170656,2091,34886,300,104400
2024-01-13,Instagram,Summer Sale,177972,1954,8003,28,26908
2024-01-14,Facebook,Festive Offer,154946,3578,19118,483,284004
2024-01-15,Instagram,Summer Sale,145890,718,23404,127,159131
2024-01-16,Facebook,Summer Sale,101088,2181,40150,285,532665
2024-01-17,Facebook,New Product Launch,16642,4412,46687,396,542520
2024-01-18,Instagram,Brand Awareness,186768,4308,20398,316,410800
2024-01-19,Instagram,Brand Awareness,167635,2602,44170,191,90343
2024-01-20,Instagram,Festive Offer,177890,3266,13818,17,32521
2024-01-21,Instagram,Festive Offer,86092,4811,31524,162,290790
2024-01-22,Instagram,Summer Sale,52523,707,11417,168,153216
2024-01-23,Facebook,Summer Sale,65853,3356,31737,258,113778
2024-01-24,Facebook,Brand Awareness,93853,2907,8041,490,524790
2024-01-25,Instagram,Summer Sale,159412,4524,12360,339,447480
2024-01-26,Instagram,Festive Offer,84245,3762,7390,199,129748
2024-01-27,Facebook,New Product Launch,198484,3751,10652,205,381505
2024-01-28,Facebook,New Product Launch,63594,1869,32174,480,266400
2024-01-29,Facebook,Summer Sale,101170,4915,37597,371,579873
2024-01-30,Facebook,Summer Sale,121735,2501,13814,17,25211
2024-01-31,Facebook,Brand Awareness,105726,1661,16725,275,221375
2024-02-01,Facebook,Clearance Sale,155633,2898,14838,124,164672
2024-02-02,Facebook,Brand Awareness,179318,4317,9802,208,73632
2024-02-03,Facebook,New Product Launch,182236,4808,41860,136,63648
2024-02-04,Facebook,New Product Launch,52792,2207,10369,145,280575
2024-02-05,Facebook,New Product Launch,138496,1836,1985,301,156520
2024-02-06,Instagram,Brand Awareness,56436,3798,40342,49,37779
2024-02-07,Facebook,Festive Offer,23668,2490,40199,216,282528
2024-02-08,Instagram,Clearance Sale,68049,4881,1023,256,123904
2024-02-09,Facebook,Brand Awareness,83954,2971,29637,129,145641
2024-02-10,Instagram,Clearance Sale,124330,4606,23811,490,696290
2024-02-11,Facebook,New Product Launch,144259,1231,4285,99,142362
2024-02-12,Instagram,Summer Sale,137351,2672,3695,333,237096
2024-02-13,Facebook,Summer Sale,41296,2771,2775,105,162855
2024-02-14,Instagram,Clearance Sale,119539,1940,41049,214,338334
2024-02-15,Instagram,Festive Offer,137237,2828,34019,164,180564
2024-02-16,Facebook,Summer Sale,137309,1561,27921,416,437632
2024-02-17,Instagram,Clearance Sale,26005,3960,1709,190,297540
2024-02-18,Instagram,Clearance Sale,40312,1358,5605,203,314244
2024-02-19,Instagram,Brand Awareness,54274,720,11718,281,348159
2024-02-20,Facebook,New Product Launch,133921,2105,19634,68,74120
2024-02-21,Facebook,Brand Awareness,135247,445,4430,379,365735
2024-02-22,Facebook,Summer Sale,69314,4273,5920,262,512996
2024-02-23,Facebook,Summer Sale,118060,3024,32327,204,161568
2024-02-24,Facebook,Summer Sale,40488,301,42865,257,219478
2024-02-25,Facebook,Festive Offer,107323,4577,33182,10,8270
2024-02-26,Facebook,Festive Offer,187919,4763,46806,55,57365
2024-02-27,Facebook,Festive Offer,152444,3974,10083,125,102250
2024-02-28,Instagram,Brand Awareness,159577,3832,31814,324,468180
2024-02-29,Facebook,New Product Launch,94444,3520,30023,95,110485
2024-03-01,Facebook,New Product Launch,9212,625,779,149,190124
2024-03-02,Facebook,New Product Launch,50132,1640,4471,325,416000
2024-03-03,Instagram,New Product Launch,123082,1440,12850,232,101848
2024-03-04,Facebook,Summer Sale,189272,681,35713,192,172608
2024-03-05,Instagram,New Product Launch,183714,2728,30550,306,369036
2024-03-06,Facebook,Brand Awareness,35321,2734,38913,222,102120
2024-03-07,Facebook,Clearance Sale,87214,1532,36972,20,14280
2024-03-08,Facebook,Summer Sale,82509,625,29763,175,349300
2024-03-09,Facebook,Clearance Sale,130708,279,37009,68,95268
2024-03-10,Instagram,Clearance Sale,158824,1593,16087,424,598264
2024-03-11,Instagram,Brand Awareness,78472,1966,40815,307,307307
2024-03-12,Instagram,New Product Launch,140020,4861,15230,22,41668
2024-03-13,Instagram,Summer Sale,12055,1563,49601,262,359202
2024-03-14,Facebook,Brand Awareness,163590,2874,47842,125,136750
2024-03-15,Instagram,Festive Offer,140593,964,43625,16,18112
2024-03-16,Instagram,Summer Sale,190732,1973,18994,332,291164
2024-03-17,Instagram,Festive Offer,13631,2423,36935,233,304764
2024-03-18,Instagram,Brand Awareness,199086,1787,38923,355,694025
2024-03-19,Facebook,Clearance Sale,102210,2483,6726,91,106834
2024-03-20,Instagram,New Product Launch,5377,960,9608,46,23276
2024-03-21,Instagram,Brand Awareness,108608,1616,1244,149,256727
2024-03-22,Instagram,Summer Sale,39287,4785,2321,80,128240
2024-03-23,Facebook,Summer Sale,132975,2147,34276,116,200216
2024-03-24,Facebook,Summer Sale,48388,1051,35182,238,416976
2024-03-25,Instagram,Clearance Sale,40947,4529,14936,117,208377
2024-03-26,Facebook,Brand Awareness,178913,3458,17730,306,138312
2024-03-27,Facebook,New Product Launch,183796,1606,25478,175,57925
2024-03-28,Facebook,New Product Launch,10135,3923,11136,299,375544
2024-03-29,Facebook,New Product Launch,107441,466,26051,279,466488
2024-03-30,Facebook,Festive Offer,85039,1841,38402,496,984560
2024-03-31,Instagram,New Product Launch,195371,4892,33986,473,744975
2024-04-01,Instagram,Brand Awareness,177933,4604,29432,416,643136
2024-04-02,Facebook,Brand Awareness,141344,914,38526,151,61004
2024-04-03,Facebook,Clearance Sale,60079,489,27688,319,351538
2024-04-04,Facebook,Summer Sale,147356,4824,34614,275,293700
2024-04-05,Instagram,New Product Launch,183153,4698,28894,440,870320
2024-04-06,Facebook,Brand Awareness,82173,3004,33966,39,67587
2024-04-07,Facebook,Brand Awareness,35111,790,14348,178,280884
2024-04-08,Instagram,New Product Launch,104163,2216,28020,22,25256
2024-04-09,Facebook,Brand Awareness,191512,2919,5607,158,297830
2024-04-10,Facebook,Summer Sale,59950,644,6982,208,76960
2024-04-11,Facebook,Festive Offer,69604,4417,39930,486,622566
2024-04-12,Facebook,Summer Sale,190811,2878,3989,367,597109
2024-04-13,Instagram,Clearance Sale,199356,369,14562,23,14674
2024-04-14,Facebook,Brand Awareness,105313,647,46727,53,53212
2024-04-15,Facebook,Clearance Sale,198742,4184,31757,350,294700
2024-04-16,Instagram,New Product Launch,119740,3894,12422,303,472074
2024-04-17,Instagram,Summer Sale,99914,2222,39673,60,42420
2024-04-18,Facebook,Clearance Sale,186298,2656,21769,76,74100
2024-04-19,Instagram,Clearance Sale,165102,4036,21476,136,160616
2024-04-20,Instagram,Festive Offer,37026,4899,19255,449,559005
2024-04-21,Instagram,Festive Offer,38044,2780,17617,248,133672
2024-04-22,Instagram,Clearance Sale,54182,1081,28230,216,144504
2024-04-23,Instagram,Clearance Sale,19636,3094,4031,297,183249
2024-04-24,Instagram,Brand Awareness,178679,991,13560,382,492016
2024-04-25,Facebook,Festive Offer,75326,4142,7201,491,606385
2024-04-26,Facebook,New Product Launch,126531,4426,46635,303,581457
2024-04-27,Instagram,Festive Offer,43855,4729,29492,114,205086
2024-04-28,Instagram,Brand Awareness,16695,1097,36447,19,20330
2024-04-29,Instagram,New Product Launch,53832,1740,35255,472,530528
2024-04-30,Facebook,Brand Awareness,95610,228,28769,392,577416
2024-05-01,Facebook,Summer Sale,59188,3402,5994,408,795600
2024-05-02,Facebook,Clearance Sale,57165,3138,49881,201,193965
2024-05-03,Instagram,Brand Awareness,144661,669,23101,347,627376
2024-05-04,Facebook,Brand Awareness,40539,523,42469,117,63531
2024-05-05,Instagram,Brand Awareness,146794,4217,49655,125,237750
2024-05-06,Instagram,Summer Sale,35645,3630,32325,237,75366
2024-05-07,Facebook,Summer Sale,57852,1673,28194,301,402738
2024-05-08,Instagram,Brand Awareness,49882,4456,14639,220,374880
2024-05-09,Instagram,Summer Sale,10997,378,43773,44,29656
2024-05-10,Instagram,Clearance Sale,70157,1139,9665,359,609941
2024-05-11,Instagram,Festive Offer,34226,4618,26058,65,48035
2024-05-12,Facebook,Clearance Sale,16800,2255,46106,320,580160
2024-05-13,Instagram,Summer Sale,172904,4447,45883,90,122040
2024-05-14,Facebook,Festive Offer,8610,1375,49662,135,218970
2024-05-15,Instagram,Clearance Sale,144536,4419,21827,132,262284
2024-05-16,Instagram,Summer Sale,89516,3861,6999,239,226811
2024-05-17,Facebook,New Product Launch,52301,84,44633,163,54116
2024-05-18,Facebook,New Product Launch,122937,3353,4000,386,437338
2024-05-19,Instagram,Summer Sale,38490,3175,29811,445,392935
2024-05-20,Facebook,Brand Awareness,75592,2111,23336,82,133414
2024-05-21,Facebook,Summer Sale,132381,1591,34647,270,182250
2024-05-22,Facebook,New Product Launch,164354,1555,10536,371,237069
2024-05-23,Facebook,Brand Awareness,153258,2592,45640,416,581984
2024-05-24,Facebook,Summer Sale,74135,4133,4478,457,208392
2024-05-25,Facebook,Festive Offer,51522,2544,37178,216,187488
2024-05-26,Instagram,New Product Launch,34435,3231,12169,399,434511
2024-05-27,Instagram,Festive Offer,79207,2882,20278,488,801296
2024-05-28,Instagram,Summer Sale,50213,4102,28059,29,22910
2024-05-29,Instagram,Summer Sale,128318,2487,17026,94,120790
2024-05-30,Facebook,Clearance Sale,121394,564,22671,108,215460
2024-05-31,Instagram,New Product Launch,193042,2107,39371,311,358272
2024-06-01,Facebook,Brand Awareness,21210,1252,44378,323,195415
2024-06-02,Instagram,New Product Launch,164824,1719,36882,398,488744
2024-06-03,Instagram,Summer Sale,186426,633,30139,77,107107
2024-06-04,Facebook,New Product Launch,53855,400,10167,128,120960
2024-06-05,Facebook,Festive Offer,60874,4258,42551,450,311850
2024-06-06,Instagram,Festive Offer,25709,946,36263,213,338670
2024-06-07,Instagram,Festive Offer,144185,3031,15959,433,816205
2024-06-08,Instagram,New Product Launch,182665,944,46982,206,361942
2024-06-09,Instagram,Festive Offer,73487,777,16444,442,626756
2024-06-10,Facebook,New Product Launch,175297,2184,4722,446,881296
2024-06-11,Facebook,Festive Offer,188661,1577,2412,271,190242
2024-06-12,Facebook,Festive Offer,45404,4744,14733,471,219015
2024-06-13,Instagram,Brand Awareness,81237,3179,38926,94,54896
2024-06-14,Facebook,Brand Awareness,191196,4963,30172,394,519686
2024-06-15,Facebook,Festive Offer,13706,2527,5172,148,66896
2024-06-16,Instagram,Clearance Sale,128173,2366,3554,121,42229
2024-06-17,Facebook,Festive Offer,116997,837,39592,314,548872
2024-06-18,Facebook,Summer Sale,48341,207,6166,75,109425
2024-06-19,Facebook,Clearance Sale,197990,1386,1183,118,50386
2024-06-20,Instagram,Brand Awareness,7712,537,25143,56,38248
2024-06-21,Facebook,Brand Awareness,107162,4073,24137,427,370209
2024-06-22,Instagram,Brand Awareness,125369,52,23580,9,13293
2024-06-23,Instagram,Clearance Sale,116993,4430,1517,163,218257
2024-06-24,Facebook,Brand Awareness,33836,3309,42803,98,106722
2024-06-25,Facebook,Brand Awareness,48030,3257,13606,454,671920
2024-06-26,Instagram,Festive Offer,82754,468,24311,423,491103
2024-06-27,Facebook,New Product Launch,44995,2865,36014,83,104995
2024-06-28,Facebook,Summer Sale,177593,1829,38255,247,442871
2024-06-29,Facebook,Summer Sale,120220,1884,4950,143,237237
2024-06-30,Instagram,New Product Launch,138211,2545,47888,169,83993
2024-07-01,Instagram,Clearance Sale,66232,1565,535,369,388926
2024-07-02,Instagram,Summer Sale,86519,1618,39844,380,738340
2024-07-03,Instagram,New Product Launch,71052,481,30966,411,678972
2024-07-04,Facebook,Festive Offer,13761,4244,40315,460,534980
